listing_id,listing_url,brand,model,year,price,mileage_v2,fuel,carcolor_name,region_name,crawled_at,source
129999928,https://www.chotot.com/mua-ban-o-to/129999928.htm,Ford,Mondeo,2003,65000000,20000,Xăng,trắng,Đồng Tháp,2025-12-30 22:02:56,chotot
129999832,https://www.chotot.com/mua-ban-o-to/129999832.htm,Toyota,Corolla,1992,55000000,20000,Xăng,,Đồng Tháp,2025-12-30 22:02:56,chotot
128697836,https://www.chotot.com/mua-ban-o-to/128697836.htm,Toyota,Vios,2015,228000000,112000,Xăng,,Long An,2025-12-30 22:03:05,chotot
129986837,https://www.chotot.com/mua-ban-o-to/129986837.htm,Suzuki,Ertiga,2021,420000000,82131,Xăng,,Sóc Trăng,2025-12-30 22:03:08,chotot
129984267,https://www.chotot.com/mua-ban-o-to/129984267.htm,Hyundai,Verna,2008,85000000,160000,Xăng,đen,Vĩnh Long,2025-12-30 22:03:17,chotot
129475443,https://www.chotot.com/mua-ban-o-to/129475443.htm,Ford,Everest,2006,130000000,14200,Dầu,,Vĩnh Long,2025-12-30 22:03:17,chotot
130001033,https://www.chotot.com/mua-ban-o-to/130001033.htm,Hyundai,Grand i10,2025,136000000,110000,Xăng,,Quảng Bình,2025-12-30 22:03:20,chotot
129999032,https://www.chotot.com/mua-ban-o-to/129999032.htm,Hyundai,Accent,2022,420000000,50000,Xăng,,Quảng Trị,2025-12-30 22:03:23,chotot
129992549,https://www.chotot.com/mua-ban-o-to/129992549.htm,Chevrolet,Cruze,2012,165000000,1,Xăng,,Thừa Thiên Huế,2025-12-30 22:03:26,chotot
129991905,https://www.chotot.com/mua-ban-o-to/129991905.htm,Toyota,Vios,2017,290000000,30174,Xăng,bạc,Thừa Thiên Huế,2025-12-30 22:03:26,chotot
129998688,https://www.chotot.com/mua-ban-o-to/129998688.htm,Ford,Transit,2025,999000000,,Dầu,,Bình Thuận,2025-12-30 22:03:29,chotot
