brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Toyota,Land Cruiser,2025,285032704,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2025-6522006
Hyundai,Accent,2024,506000000,25000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-accent-cao-cap-1.5-at-2024-6615129
Mercedes-Benz,S Class,2015,1220000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-s_class-s500l-2015-6579404
Other,Other,2025,549000000,0,Điện,TP.HCM,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-dongfeng-box-e2-330-2025-6504556
Toyota,Camry,2017,629000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-camry-2.5q-2017-6418608
Subaru,Forester,2020,710000000,130000,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-subaru-forester-2.0i-s-eyesight-gt-edition-2020-6417174
Audi,Q2,2019,839000000,66000,Xăng,TP.HCM,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-q2-1.4-tfsi-2019-6383652
Volkswagen,Teramont,2025,-1806967296,0,Xăng,Nghệ An,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-volkswagen-teramont-president-2.0-at-2025-6090213
Toyota,Land Cruiser,2025,285032704,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2025-5555105
Volkswagen,Golf,2025,1898000000,0,Hybrid,Hà Nội,Xanh,bonbanh,2026-01-09,https://bonbanh.com/xe-volkswagen-golf-2.0-tsi-r-performance-4motion-2025-6435114
Ford,Territory,2025,765000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2025-6470141
Ford,Everest,2025,1500000000,0,Điện,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-ford-everest-platinum-2.0l-4x4-at-2025-6599253
Audi,A5,2017,959000000,62000,Xăng,TP.HCM,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-audi-a5-sportback-2.0-2017-6611057
Toyota,Camry,2015,550000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-camry-2.5q-2015-6607396
VinFast,Vf 3,2025,240000000,1340,Điện,Hà Nội,Đỏ,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6375141
Hyundai,Santafe,2017,588000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-hyundai-santafe-2.4l-4wd-2017-6577539
Mercedes-Benz,C Class,2016,655000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-6383160
Mercedes-Benz,C Class,2021,1080000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-6597157
Mazda,6,2017,450000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-mazda-6-premium-2.0-at-2017-6596113
Toyota,Fortuner,2015,445000000,0,Xăng,Hà Nội,Bạc,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2015-6366727
VinFast,Lux A,2020,479000000,0,Điện,Hà Nội,Nâu,bonbanh,2026-01-09,https://bonbanh.com/xe-vinfast-lux_a_2.0-plus-2.0-at-2020-6554156
Toyota,Fortuner,2022,1043000000,64000,Dầu,Hà Nội,Trắng,bonbanh,2026-01-09,https://bonbanh.com/xe-toyota-fortuner-legender-2.4l-4x2-at-2022-6591320
