brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Honda,City,2023,475000000,53000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130165984.htm
Suzuki,Swift,2016,260000000,85124,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130186206.htm
Chevrolet,Mới,2011,96000000,142020,Điện,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/130186197.htm
Other,Other,2011,248000000,186000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129792094.htm
Mercedes-Benz,Glc,2021,1170000000,48013,Điện,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/123491630.htm
Hyundai,Accent,2020,390000000,80000,Điện,Thái Nguyên,Đỏ,chotot,2026-01-09,https://www.chotot.com/130186121.htm
Toyota,Veloz,2022,450000000,0,Điện,Thái Nguyên,Trắng,chotot,2026-01-09,https://www.chotot.com/130186162.htm
Other,Other,2016,320000000,112856,Điện,Khác,Trắng,chotot,2026-01-09,https://www.chotot.com/130186143.htm
Kia,Cerato,2019,458000000,80000,Điện,Cần Thơ,Đỏ,chotot,2026-01-09,https://www.chotot.com/129885155.htm
Mazda,Cx 5,2023,790000000,29000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129853205.htm
Toyota,Land Cruiser,2015,2050000000,174355,Xăng,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130108252.htm
Toyota,Vios,2021,350000000,0,Điện,Thái Nguyên,Đen,chotot,2026-01-09,https://www.chotot.com/130186081.htm
Honda,City,2010,569000000,0,Xăng,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/128781645.htm
Hyundai,Chiếc,2008,233000000,79000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130134126.htm
Kia,Carnival,2024,1230000000,60000,Điện,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/129060640.htm
Mazda,Cx 5,2015,399000000,700000,Xăng,Khác,Đỏ,chotot,2026-01-09,https://www.chotot.com/130186073.htm
Toyota,Vios,2018,350000000,138000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130186040.htm
Lexus,Ls,2024,5999000000,17000,Điện,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/127349328.htm
Mazda,6,2019,555000000,62000,Điện,Bến Tre,Trắng,chotot,2026-01-09,https://www.chotot.com/130185992.htm
Toyota,Camry,2007,255000000,128000,Xăng,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130005535.htm
Toyota,Yaris,2015,370000000,40000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130122030.htm
Toyota,Fortuner,2017,649000000,108350,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/129858309.htm
MG,Mg5,2023,425000000,38000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/130185973.htm
Mitsubishi,Outlander,2019,498000000,68000,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/124756234.htm
Peugeot,50,2021,800000000,42000,Điện,Đà Nẵng,Đen,chotot,2026-01-09,https://www.chotot.com/126513013.htm
VinFast,Fadil,2022,305000000,6800,Xăng,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/129943637.htm
Other,Other,2010,462000000,1,Điện,TP.HCM,Đỏ,chotot,2026-01-09,https://www.chotot.com/130160586.htm
Other,Other,2022,729000000,79000,Điện,Hà Nội,Đỏ,chotot,2026-01-09,https://www.chotot.com/130185893.htm
VinFast,Fadil,2019,275000000,70000,Xăng,TP.HCM,Trắng,chotot,2026-01-09,https://www.chotot.com/129886474.htm
BMW,3 Series,2015,495000000,96839,Điện,Hà Nội,Trắng,chotot,2026-01-09,https://www.chotot.com/123439186.htm
