brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Kia,Rio,2015,280000000,80000,Xăng,Hưng Yên,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-kia-rio-hung-yen/sedan-so-tu-dong-doi-xe-nhap-khau-ten-tu-nhan-bien-30-xe-dep-tat-nang-zin-ve-may-so-keo-chi-aidxc23398184
MG,5,2022,339000000,55000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-mg-5-hcm/2022-std-000-km-aidxc23397052
Hyundai,Accent,2022,440000000,80000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-hyundai-accent-ha-noi/2022-ath-80000-km-aidxc23396974
Kia,Soluto,2019,255000000,33098,Xăng,Khác,Đỏ,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-kia-soluto-long-an/2019-mt-duluxe-do-aidxc23396345
Vinfast,VF5,2024,410000000,160000,Điện,Quảng Ninh,Đỏ,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-vinfast-vf5-quang-ninh/vf-5-mau-do-aidxc23396444
Mazda,3,2022,550000000,100000,Xăng,Khác,Đỏ,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-mazda-3-dak-nong/2022-do-aidxc23397672
Mercedes,AMG,2022,3499000000,32000,Xăng,TP.HCM,Be,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-mercedes-benz-amg-gle-53-hcm/tiet-kiem-ngay-1ti-bank-70-aidxc23393241
Honda,City,2023,508000000,23000,Xăng,Đà Nẵng,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-honda-city-da-nang/2023-rs-15-at-23000-km-aidxc23397313
Hyundai,Santa,2016,567000000,110000,Xăng,Hà Nội,Đen,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-ha-noi/2016-24l-4wd-den-aidxc23397031
Kia,Sonet,2022,485000000,30086,Xăng,Hà Nội,Trắng,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-kia-sonet-ha-noi/2022-luxury-3v-trang-xe-gia-dinh-aidxc23395151
Toyota,Vios,2022,420000000,6700,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/2022-g-6700-km-aidxc23397941
Honda,Civic,2006,175000000,190500,Xăng,Khác,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-honda-civic-ninh-binh/2006-190500-km-aidxc23397845
Toyota,Corolla,2005,135000000,0,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/2005-tai-aidxc23398075
Volvo,S90,2022,1579000000,47000,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-volvo-s90-hcm/l-b6-2022-luot-nhe-full-bao-duong-aidxc23397379
Mazda,3s,2014,285000000,90000,Xăng,Bình Dương,Vàng,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-mazda-3s-binh-duong/2014-vang-cat-90000-km-sang-dep-ben-aidxc23396586
Honda,City,2025,550000000,1400,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-honda-city-hcm/rs-2025-aidxc23397664
Suzuki,Super,2021,210000000,55000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-suzuki-super-carry-pro-ha-noi/xe-dep-gia-tot-aidxc23397772
Volkswagen,Viloran,2025,2239000000,7399,Xăng,TP.HCM,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-volkswagen-viloran-hcm/luxury-sieu-luot-7399km-cuc-dep-aidxc23397425
Hyundai,Tucson,2019,615000000,80000,Xăng,Hà Nội,Đen,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-hyundai-tucson-ha-noi/2019-16-turbo-den-aidxc23395372
Toyota,Yaris,2014,325000000,100000,Xăng,Hà Nội,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/2014-13g-100000-km-aidxc23396404
Vinfast,LUX,2019,465000000,60000,Xăng,Khác,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-vinfast-lux-a20-ha-nam/2019-20-at-60000-km-aidxc23395387
Honda,City,2024,485000000,7000,Xăng,Khác,Unknown,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-honda-city-gia-lai/2024-l-15-at-7000-km-aidxc23396757
Mercedes,GLC,2019,999000000,60000,Xăng,TP.HCM,Đen,otocomvn,2025-12-22,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-250-hcm/2019-den-60000-km-aidxc23397776
