brand,model,year,price,mileage,fuel,location,color,source,crawl_date
Mercedes,G63 4Matic,2021,7500000000,22000,Xăng,TP.HCM,Be,otocomvn,2026-01-02
Mercedes,AMG -,2021,799000000,45000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Kia,D Signature,2022,1165000000,60000,Dầu,Hà Nội,Cam,otocomvn,2026-01-02
Mercedes,4Matic,2021,1450000000,7000,Xăng,Hà Nội,Đen,otocomvn,2026-01-02
Mini,- Xe,2020,1399000000,22000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Kia,L LUXURY,2025,679000000,4000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Lexus,Luxury,2016,2090000000,100000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Toyota,V,2010,289000000,160000,Xăng,Hải Dương,Unknown,otocomvn,2026-01-02
Hyundai,Fe 2.2,2023,1220000000,20000,Dầu,Hà Nội,Cam,otocomvn,2026-01-02
BMW,xDrive40i Msport,2023,2799000000,31000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Porsche,Executive,2021,5289000000,40000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Ford,Tiêu chuẩn,2023,520000000,300000,Dầu,Quảng Ninh,Unknown,otocomvn,2026-01-02
Kia,G Signature,2025,965000000,3600,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Chevrolet,LTZ 1.4,2013,169000000,80000,Điện,Khác,Unknown,otocomvn,2026-01-02
Hyundai,i10 -,2025,119000000,89000,Xăng,Nghệ An,Unknown,otocomvn,2026-01-02
Lexus,-,2023,3350000000,19000,Xăng,Hà Nội,Đen,otocomvn,2026-01-02
Toyota,E,2017,325000000,100000,Xăng,Khác,Đỏ,otocomvn,2026-01-02
Toyota,- Đủ,2008,310000000,90000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Mercedes,4Matic,2021,3650000000,66000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Mercedes,V1,2022,1500000000,21000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Mercedes,AMG -,2019,1289000000,40000,Xăng,Hà Nội,Cam,otocomvn,2026-01-02
Kia,Premium,2022,555000000,20000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Mercedes,S450 4Matic,2019,4150000000,30000,Xăng,Hà Nội,Bạc,otocomvn,2026-01-02
Kia,Standard MT,2012,76000000,110000,Xăng,Nghệ An,Unknown,otocomvn,2026-01-02
Mercedes,AMG -,2022,1539000000,13000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Toyota,Q -,2019,805000000,80000,Xăng,Hà Nội,Cam,otocomvn,2026-01-02
Mercedes,V1,2022,1560000000,32000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Audi,TFSI,2016,1199000000,86000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Hyundai,i10 -,2015,268000000,100000,Xăng,Khác,Unknown,otocomvn,2026-01-02
Mercedes,AMG -,2021,1499000000,89000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Mercedes,4Matic,2022,4139000000,38000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Mercedes,4Matic,2017,795000000,60000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Toyota,Cruiser Prado,2021,2579000000,50000,Xăng,Hà Nội,Đỏ,otocomvn,2026-01-02
Mazda,L Deluxe,2021,465000000,39000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Mercedes,Avantgarde -,2023,1350000000,19000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Lexus,MBS,2016,4650000000,200000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Mazda,AT,2020,360000000,70000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-02
Kia,SX 1.1,2012,76000000,97000,Xăng,Nghệ An,Unknown,otocomvn,2026-01-02
Kia,X-LINE -,2021,339000000,62000,Xăng,Hải Dương,Đỏ,otocomvn,2026-01-02
Ford,Wildtrak 2.0L,2025,889000000,6000,Dầu,Hà Nội,Unknown,otocomvn,2026-01-02
Kia,Standard MT,2013,118000000,110000,Xăng,Khác,Unknown,otocomvn,2026-01-02
Jeep,Wrangler,2020,2299000000,18000,Xăng,TP.HCM,Unknown,otocomvn,2026-01-02
Kia,D Signature,2024,1349000000,25000,Dầu,TP.HCM,Unknown,otocomvn,2026-01-02
Mercedes,4Matic,2023,2339000000,8000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Lexus,RX,2024,3333000000,17000,Xăng,Hà Nội,Unknown,otocomvn,2026-01-02
Hyundai,Fe 2.2L,2021,999000000,79000,Dầu,Hà Nội,Cam,otocomvn,2026-01-02
Mercedes,4Matic,2022,1799000000,39000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Mercedes,4Matic,2021,1279000000,50000,Xăng,Hà Nội,Be,otocomvn,2026-01-02
Mercedes,4Matic,2022,4139000000,38000,Xăng,Hà Nội,Đen,otocomvn,2026-01-02
Toyota,Altis 1.8G,2009,280000000,100000,Xăng,Khác,Unknown,otocomvn,2026-01-02
