brand,model,year,price,mileage,fuel,location,color,source,crawl_date,url
Cũ,2021,2021,919000000,90000,Dầu,Hà Nội,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2013,2013,275000000,0,Xăng,TP.HCM,Bạc,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2021,2021,440000000,0,Xăng,Lâm Đồng,Bạc,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2020,2020,525000000,54000,Xăng,Hải Phòng,Đỏ,bonbanh,2025-12-26,https://bonbanh.com/oto
Mới,2025,2025,580000000,0,Xăng,Khác,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2016,2016,510000000,120000,Xăng,Hà Nội,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Mới,2025,2025,475000000,0,Điện,Hà Nội,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2015,2015,6800000000,43000,Xăng,Hà Nội,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2022,2022,985000000,78000,Dầu,Hà Nội,Nâu,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2025,2025,4550000000,0,Hybrid,TP.HCM,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2023,2023,620000000,18000,Hybrid,Hà Nội,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2023,2023,589000000,0,Dầu,Hải Phòng,Cam,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2023,2023,445000000,72000,Xăng,TP.HCM,Xám,bonbanh,2025-12-26,https://bonbanh.com/oto
Cũ,2023,2023,2239000000,30000,Hybrid,Hà Nội,Trắng,bonbanh,2025-12-26,https://bonbanh.com/oto
Mới,2025,2025,1031000000,0,Dầu,Hà Nội,Trắng,bonbanh,2025-12-26,https://bonbanh.com/oto
Mới,2025,2025,7530000000,0,Hybrid,Hà Nội,Đen,bonbanh,2025-12-26,https://bonbanh.com/oto
Mới,2024,2024,3299000000,0,Xăng,Hà Nội,Trắng,bonbanh,2025-12-26,https://bonbanh.com/oto
