brand,model,year,price,mileage,fuel,location,color,source,crawl_date
2025,Bestune,2025,199000000,0,Điện,Hà Nội,Xanh,bonbanh,2025-12-26
2025,SYM,2025,220000000,2500,Xăng,Bắc Ninh,Xanh,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,225000000,11000,Điện,Bình Dương,Đỏ,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,225000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,225000000,7000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,225000000,8000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,225000000,9000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,225000000,2000,Điện,Hà Nội,Cam,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,229000000,6000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,229000000,500,Điện,Hà Nội,Tím,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,235000000,8000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,235000000,13000,Điện,Hà Nội,Xám,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,235000000,31000,Điện,TP.HCM,Đỏ,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,235000000,24000,Điện,TP.HCM,Đỏ,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,235000000,6000,Điện,Hà Nội,Đen,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,245000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,245000000,12000,Điện,TP.HCM,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,250000000,0,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,255000000,140000,Điện,Hà Nội,Đỏ,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,255000000,0,Điện,Hà Nội,Xám,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,258000000,13000,Điện,Hà Nội,Cam,bonbanh,2025-12-26
Vinfast,VF3 Plus,2025,258000000,5000,Điện,Hà Nội,Trắng,bonbanh,2025-12-26
