listing_id,listing_url,brand,model,year,price,mileage_v2,fuel,carcolor_name,region_name,crawled_at,source,car_age,brand_model
129979926,https://www.chotot.com/mua-ban-o-to/129979926.htm,Kia,K3,2023,578000000,16733.0,Xăng,Unknown,Trà Vinh,2025-12-29 21:59:20,chotot,3,Kia K3
129968047,https://www.chotot.com/mua-ban-o-to/129968047.htm,Kia,Morning,2017,185000000,70000.0,Xăng,trắng,Vĩnh Long,2025-12-29 21:59:23,chotot,9,Kia Morning
129964207,https://www.chotot.com/mua-ban-o-to/129964207.htm,Toyota,Innova,2016,320000000,95000.0,Xăng,vàng,Vĩnh Long,2025-12-29 21:59:23,chotot,10,Toyota Innova
129959337,https://www.chotot.com/mua-ban-o-to/129959337.htm,Hyundai,Tiburon,2007,26800000,136000.0,Xăng,Unknown,Vĩnh Long,2025-12-29 21:59:23,chotot,19,Hyundai Tiburon
129963447,https://www.chotot.com/mua-ban-o-to/129963447.htm,Hyundai,Grand i10,2014,138000000,11000.0,Xăng,bạc,Quảng Bình,2025-12-29 21:59:26,chotot,12,Hyundai Grand i10
129977221,https://www.chotot.com/mua-ban-o-to/129977221.htm,Mazda,3,2016,360000000,109000.0,Xăng,Unknown,Quảng Trị,2025-12-29 21:59:29,chotot,10,Mazda 3
129958503,https://www.chotot.com/mua-ban-o-to/129958503.htm,Chevrolet,Aveo,2015,195000000,87000.0,Xăng,bạc,Quảng Trị,2025-12-29 21:59:29,chotot,11,Chevrolet Aveo
129974462,https://www.chotot.com/mua-ban-o-to/129974462.htm,Mitsubishi,Attrage,2020,245000000,79000.0,Xăng,Unknown,Thừa Thiên Huế,2025-12-29 21:59:32,chotot,6,Mitsubishi Attrage
129956394,https://www.chotot.com/mua-ban-o-to/129956394.htm,Mazda,CX 5,2015,445000000,99000.0,Xăng,Unknown,Thừa Thiên Huế,2025-12-29 21:59:32,chotot,11,Mazda CX 5
129949262,https://www.chotot.com/mua-ban-o-to/129949262.htm,Hyundai,Grand i10,2022,352000000,23000.0,Xăng,đỏ,Thừa Thiên Huế,2025-12-29 21:59:32,chotot,4,Hyundai Grand i10
129976711,https://www.chotot.com/mua-ban-o-to/129976711.htm,Audi,A1,2011,280000000,70.0,Xăng,Unknown,Bình Thuận,2025-12-29 21:59:35,chotot,15,Audi A1
129966876,https://www.chotot.com/mua-ban-o-to/129966876.htm,Kia,Sportage,2023,889000000,23000.0,Xăng,trắng,Bình Thuận,2025-12-29 21:59:35,chotot,3,Kia Sportage
129950101,https://www.chotot.com/mua-ban-o-to/129950101.htm,Hyundai,Elantra,2013,285000000,100000.0,Xăng,Unknown,Bình Thuận,2025-12-29 21:59:35,chotot,13,Hyundai Elantra
129957663,https://www.chotot.com/mua-ban-o-to/129957663.htm,Toyota,Camry,2002,195000000,150.0,Xăng,cam,Bình Định,2025-12-29 21:59:39,chotot,24,Toyota Camry
129953676,https://www.chotot.com/mua-ban-o-to/129953676.htm,Toyota,Innova,2007,165000000,25000.0,Xăng,bạc,Bình Định,2025-12-29 21:59:39,chotot,19,Toyota Innova
129948933,https://www.chotot.com/mua-ban-o-to/129948933.htm,Suzuki,XL 7,2022,450000000,51339.0,Xăng,đen,Khánh Hòa,2025-12-29 21:59:42,chotot,4,Suzuki XL 7
129959338,https://www.chotot.com/mua-ban-o-to/129959338.htm,Nissan,Livina,2011,115000000,30000.0,Xăng,xám,Hà Tĩnh,2025-12-29 21:59:55,chotot,15,Nissan Livina
129954871,https://www.chotot.com/mua-ban-o-to/129954871.htm,Toyota,Fortuner,2020,895000000,118568.0,Dầu,trắng,Hà Tĩnh,2025-12-29 21:59:55,chotot,6,Toyota Fortuner
129954648,https://www.chotot.com/mua-ban-o-to/129954648.htm,Subaru,Legacy,1997,63000000,234234.0,Xăng,xanh,Hà Tĩnh,2025-12-29 21:59:55,chotot,29,Subaru Legacy
129953126,https://www.chotot.com/mua-ban-o-to/129953126.htm,Kia,Morning,2017,135000000,6868.0,Xăng,đỏ,Hà Tĩnh,2025-12-29 21:59:55,chotot,9,Kia Morning
129977984,https://www.chotot.com/mua-ban-o-to/129977984.htm,Mazda,3,2019,445000000,54000.0,Xăng,Unknown,Nghệ An,2025-12-29 21:59:59,chotot,7,Mazda 3
129977908,https://www.chotot.com/mua-ban-o-to/129977908.htm,Honda,City,2017,365000000,110000.0,Xăng,Unknown,Nghệ An,2025-12-29 21:59:59,chotot,9,Honda City
129977872,https://www.chotot.com/mua-ban-o-to/129977872.htm,Ford,Everest,2011,290000000,160000.0,Xăng,Unknown,Nghệ An,2025-12-29 21:59:59,chotot,15,Ford Everest
129973618,https://www.chotot.com/mua-ban-o-to/129973618.htm,Toyota,Corolla Altis,2013,345000000,120000.0,Xăng,đen,Nghệ An,2025-12-29 21:59:59,chotot,13,Toyota Corolla Altis
129969431,https://www.chotot.com/mua-ban-o-to/129969431.htm,Honda,City,2019,379000000,60000.0,Xăng,trắng,Nghệ An,2025-12-29 21:59:59,chotot,7,Honda City
129969234,https://www.chotot.com/mua-ban-o-to/129969234.htm,Toyota,Veloz Cross,2022,490000000,70000.0,Xăng,đen,Nghệ An,2025-12-29 21:59:59,chotot,4,Toyota Veloz Cross
129963435,https://www.chotot.com/mua-ban-o-to/129963435.htm,Hyundai,Grand i10,2014,138000000,89000.0,Xăng,bạc,Nghệ An,2025-12-29 21:59:59,chotot,12,Hyundai Grand i10
129961922,https://www.chotot.com/mua-ban-o-to/129961922.htm,Chevrolet,Spark,2009,48000000,108000.0,Xăng,bạc,Nghệ An,2025-12-29 21:59:59,chotot,17,Chevrolet Spark
