title,url,price_raw,info_raw,source,crawl_date
2021 - Mercedes-Benz AMG G63 4Matic - Mercedes AMG G63 4Matic Model 2021,https://oto.com.vn/mua-ban-xe-mercedes-benz-amg-g-63-hcm/mercedes-amg-g63-4matic-model-2021-aidxc23398655,7 tỉ 500 triệu,2021 - Mercedes-Benz AMG G63 4Matic - Mercedes AMG G63 4Matic Model 2021 | 22.000 km | Máy xăng | Số tự động | Xe cũ | 7 tỉ 500 triệu | Auto Minh Luân | Tp.HCM | 0906444444 | Gọi ngay,otocomvn,2026-01-02
"2021 - Mercedes-Benz C180 AMG - Nước sơn còn đẹp, bao check chất lượng xe",https://oto.com.vn/mua-ban-xe-mercedes-benz-c180-ha-noi/nuoc-son-con-dep-bao-check-chat-luong-xe-aidxc23387101,799 triệu,"2021 - Mercedes-Benz C180 AMG - Nước sơn còn đẹp, bao check chất lượng xe | 45.000 km | Máy xăng | Số tự động | Xe cũ | 799 triệu | Dũng Anh Auto | Hà Nội | 0923232222 | Gọi ngay",otocomvn,2026-01-02
2022 - Kia Carnival 2.2D Signature - Cam kết chất lượng,https://oto.com.vn/mua-ban-xe-kia-carnival-ha-noi/cam-ket-chat-luong-aidxc23389058,1 tỉ 165 triệu,2022 - Kia Carnival 2.2D Signature - Cam kết chất lượng | 60.000 km | Máy dầu | Số tự động | Xe cũ | 1 tỉ 165 triệu | AUTO CHỐT | Hà Nội | 0907140000 | Gọi ngay,otocomvn,2026-01-02
"2021 - Mercedes-Benz GLC 200 4Matic - Xe đẹp màu đen, nội thất đen, đi 7000 km",https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-200-ha-noi/xe-dep-mau-den-noi-that-den-di-7000-km-aidxc23398933,1 tỉ 450 triệu,"2021 - Mercedes-Benz GLC 200 4Matic - Xe đẹp màu đen, nội thất đen, đi 7000 km | 7.000 km | Máy xăng | Số tự động | Xe cũ | 1 tỉ 450 triệu | Dũng Anh Auto | Hà Nội | 0923232222 | Gọi ngay",otocomvn,2026-01-02
"2020 - Mini Clubman  - Xe lăn bánh ít, bảo dưỡng đầy đủ lịch sử",https://oto.com.vn/mua-ban-xe-mini-clubman -ha-noi/xe-lan-banh-it-bao-duong-day-du-lich-su-aidxc23396679,1 tỉ 399 triệu,"2020 - Mini Clubman - Xe lăn bánh ít, bảo dưỡng đầy đủ lịch sử | 22.000 km | Máy xăng | Số tự động | Xe cũ | 1 tỉ 399 triệu | Dũng Anh Auto | Hà Nội | 0923232222 | Gọi ngay",otocomvn,2026-01-02
2025 - Kia Seltos 1.5L LUXURY - Như xe mới,https://oto.com.vn/mua-ban-xe-kia-seltos-ha-noi/nhu-xe-moi-aidxc23391175,679 triệu,2025 - Kia Seltos 1.5L LUXURY - Như xe mới | 4.000 km | Máy xăng | Số tự động | Xe cũ | 679 triệu | AUTO CHỐT | Hà Nội | 0907140000 | Gọi ngay,otocomvn,2026-01-02
"2016 - Lexus RX 350 Luxury - SUV cao cấp sản xuất 2016, chất lượng zin full hãng",https://oto.com.vn/mua-ban-xe-lexus-rx-350-ha-noi/suv-cao-cap-san-xuat-2016-chat-luong-zin-full-hang-aidxc23387172,2 tỉ 090 triệu,"2016 - Lexus RX 350 Luxury - SUV cao cấp sản xuất 2016, chất lượng zin full hãng | 100.000 km | Máy xăng | Số tự động | Xe cũ | 2 tỉ 090 triệu | AUTO CHỐT | Hà Nội | 0907140000 | Gọi ngay",otocomvn,2026-01-02
"2010 - Toyota Fortuner 2.7 V 4X4 AT - Xe cực đẹp bản 2 cầu, liên hệ em xem xe",https://oto.com.vn/mua-ban-xe-toyota-fortuner-hai-duong/xe-cuc-dep-ban-2-cau-lien-he-em-xem-xe-aidxc23398497,289 triệu,"2010 - Toyota Fortuner 2.7 V 4X4 AT - Xe cực đẹp bản 2 cầu, liên hệ em xem xe | 160.000 km | Máy xăng | Số tự động | Xe cũ | 289 triệu | Nhất Tín Ô Tô Hải... | Hải Dương | 0988131545 | Gọi ngay",otocomvn,2026-01-02
2023 - Hyundai Santa Fe 2.2 Dầu Cao cấp - Xe đẹp cam kết đầy đủ,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-ha-noi/xe-dep-cam-ket-day-du-aidxc23387449,1 tỉ 220 triệu,2023 - Hyundai Santa Fe 2.2 Dầu Cao cấp - Xe đẹp cam kết đầy đủ | 20.000 km | Máy dầu | Số tự động | Xe cũ | 1 tỉ 220 triệu | AUTO CHỐT | Hà Nội | 0907140000 | Gọi ngay,otocomvn,2026-01-02
"2023 - BMW X5 xDrive40i Msport - Xe lăn bánh ít, bảo hành đầy đủ",https://oto.com.vn/mua-ban-xe-bmw-x5-ha-noi/xe-lan-banh-it-bao-hanh-day-du-aidxc23396666,2 tỉ 799 triệu,"2023 - BMW X5 xDrive40i Msport - Xe lăn bánh ít, bảo hành đầy đủ | 31.000 km | Máy xăng | Số tự động | Xe cũ | 2 tỉ 799 triệu | Dũng Anh Auto | Hà Nội | 0923232222 | Gọi ngay",otocomvn,2026-01-02
2021 - Porsche Panamera 4 Executive - Xe sang giá tốt,https://oto.com.vn/mua-ban-xe-porsche-panamera-ha-noi/xe-sang-gia-tot-aidxc23389296,5 tỉ 289 triệu,2021 - Porsche Panamera 4 Executive - Xe sang giá tốt | 40.000 km | Máy xăng | Số tự động | Xe cũ | 5 tỉ 289 triệu | AUTO CHỐT | Hà Nội | 0907140000 | Gọi ngay,otocomvn,2026-01-02
